"order","file","name","meaning","type","unicode","source"
"60","060_吃瓜.png","/吃瓜","吃瓜，围观、看热闹","wx-2021","","mp"
"61","061_加油.png","/加油","加油，鼓励、打气","wx-2021","","mp"
"62","062_汗.png","/汗","汗（新版），尴尬、无奈","wx-2021","😓","mp"
"63","063_天啊.png","/天啊","天啊，惊讶、惊呼","wx-2021","😲","mp"
"64","064_emm.png","/emm","emm，无语、尴尬","wx-2021","😑","mp"
"65","065_社会社会.png","/社会社会","社会社会，佩服、厉害（调侃）","wx-2021","","mp"
"66","066_旺柴.png","/旺柴","旺柴（柴犬头），调侃、滑稽","wx-2021","🐶","mp"
"67","067_好的.png","/好的","好的（新版），OK、没问题","wx-2021","👌","mp"
"68","068_打脸.png","/打脸","打脸（新版），受伤、尴尬","wx-2021","🤕","mp"
"69","069_哇.png","/哇","哇，星星眼、崇拜","wx-2021","🤩","mp"
"70","070_翻白眼.png","[翻白眼]","翻白眼，无语、嫌弃","wx-2021","🙄","mp"
"71","071_666.png","[666]","666，厉害、牛","wx-2021","","mp"
"72","072_让我看看.png","[让我看看]","让我看看，好奇、围观","wx-2021","","mp"
"73","073_叹气.png","[叹气]","叹气，无奈、感慨","wx-2021","","mp"
"74","074_苦涩.png","[苦涩]","苦涩，心酸、无奈","wx-2021","","mp"
"75","075_裂开.png","[裂开]","裂开，心态崩了、震惊","wx-2021","","mp"
"76","076_嘴唇.png","/嘴唇","嘴唇，示爱、飞吻","wx-object","👄","web"
"77","077_爱心.png","/爱心","爱心，喜欢、爱","wx-object","❤","web"
"78","078_心碎.png","/心碎","心碎，伤心、失恋","wx-object","💔","web"
"79","079_拥抱.png","/拥抱","拥抱，欢迎、抱抱","wx-classic","🤗","web"
"80","080_强.png","/强","肌肉，强壮、加油","wx-object","💪","web"
"81","081_弱.png","/弱","弱，不行、认输（经典表情）","wx-object","","web"
"82","082_握手.png","/握手","握手，合作、达成一致","wx-object","🤝","web"
"83","083_胜利.png","/胜利","胜利，成功、赢","wx-object","✌","web"
"84","084_抱拳.png","/抱拳","抱拳，感谢、拜托","wx-object","🙏","web"
"85","085_勾引.png","/勾引","勾引，撩人、挑逗","wx-object","","web"
"86","086_拳头.png","/拳头","拳头，加油、打气","wx-object","✊","web"
"87","087_OK.png","/OK","OK，好的、没问题","wx-object","👌","web"
"88","088_合十.png","/合十","合十（新版），感谢、祈祷","wx-object","🙏","web"
"89","089_啤酒.png","/啤酒","啤酒，干杯、聚会","wx-object","🍺","web"
"90","090_咖啡.png","/咖啡","咖啡，提神、喝一杯","wx-object","☕","web"
"91","091_蛋糕.png","/蛋糕","蛋糕，生日、庆祝","wx-object","🍰","web"
"92","092_玫瑰.png","/玫瑰","玫瑰，爱情、示爱、感谢","wx-object","🌹","web"
"93","093_凋谢.png","/凋谢","凋谢，失恋、心灰意冷","wx-object","🥀","web"
"94","094_菜刀.png","/菜刀","菜刀，切菜、威胁","wx-object","🔪","web"
"95","095_炸弹.png","/炸弹","炸弹，炸了、劲爆","wx-object","💣","web"
"96","096_便便.png","/便便","便便，恶心、调侃","wx-object","💩","web"
"97","097_月亮.png","/月亮","月亮，夜晚、晚安","wx-object","🌙","web"
"98","098_太阳.png","/太阳","太阳，白天、阳光好天气","wx-object","🌞","web"
"99","099_庆祝.png","/庆祝","庆祝，祝贺、派对、开派对","wx-object","🎉","web"
"100","100_礼物.png","/礼物","礼物，惊喜、赠送","wx-object","🎁","web"
"101","101_红包.png","/红包","红包，恭喜发财、收钱","wx-object","🧧","web"
"102","102_發.png","/發","麻将「發」牌，招财进宝","wx-object","🀅","web"
"103","103_福.png","/福","福，祝福、过年、喜庆","wx-object","","web"
"104","104_烟花.png","/烟花","烟花，过年、庆祝","wx-object","🎆","web"
"105","105_爆竹.png","/爆竹","爆竹，过年、热闹","wx-object","🧨","web"
"106","106_猪头.png","/猪头","猪头，贪吃、调侃对方","wx-classic","🐷","web"
"107","107_发抖.png","/发抖","发抖，冷、冻僵","wx-object","🥶","web"
"108","108_跳跳.png","/跳跳","跳跳，蹦跳、开心","wx-object","","web"
"109","109_转圈.png","/转圈","转圈，庆祝、晕头转向","wx-object","","web"
"110","110_吐舌.png","/吐舌","吐舌，调皮、得意","wx-2021","😝","mp"
"111","111_加油加油.png","/加油加油","加油加油，强力鼓劲","wx-2021","","mp"
